# Copyright (c) 2009 The Chromium Authors. All rights reserved.
# Use of this source code is governed by a BSD-style license that can be
# found in the LICENSE file.

# Package list created by list_installed_packages.sh
# Creation time: Wed Aug 26 18:28:39 UTC 2009
#
# Contents of /etc/apt/sources.list:
#   deb file:"/tmp/chromeos_setup" local_packages/
#   deb file:///trunk/repo/apt chromeos main restricted multiverse universe
#   deb http://chromeos-deb.corp.google.com/ubuntu karmic main restricted multiverse universe
#
# package_name version priority section repo_filename
libcurl3-gnutls 7.19.5-1ubuntu1 important libs pool/main/c/curl/libcurl3-gnutls_7.19.5-1ubuntu1_i386.deb
libcwidget3 0.5.12-4ubuntu2 important libs pool/main/c/cwidget/libcwidget3_0.5.12-4ubuntu2_i386.deb
libdatrie1 0.2.2-1 optional libs pool/main/libd/libdatrie/libdatrie1_0.2.2-1_i386.deb
libdb4.7 4.7.25-7ubuntu2 required libs pool/main/d/db/libdb4.7_4.7.25-7ubuntu2_i386.deb
libdbus-1-3 1.2.16-0ubuntu2 required libs pool/main/d/dbus/libdbus-1-3_1.2.16-0ubuntu2_i386.deb
libdbus-glib-1-2 0.80-4 optional libs pool/main/d/dbus-glib/libdbus-glib-1-2_0.80-4_i386.deb
libdevkit-power-gobject1 010-0ubuntu1 optional libs pool/main/d/devicekit-power/libdevkit-power-gobject1_010-0ubuntu1_i386.deb
libdevmapper1.02.1 2:1.02.27-4ubuntu6 important libs pool/main/d/devmapper/libdevmapper1.02.1_1.02.27-4ubuntu6_i386.deb
libdirectfb-1.2-0 1.2.7-2ubuntu1 optional libs pool/main/d/directfb/libdirectfb-1.2-0_1.2.7-2ubuntu1_i386.deb
libdrm-intel1 2.4.12-1ubuntu1 optional libs pool/main/libd/libdrm/libdrm-intel1_2.4.12-1ubuntu1_i386.deb
libdrm2 2.4.12-1ubuntu1 optional libs pool/main/libd/libdrm/libdrm2_2.4.12-1ubuntu1_i386.deb
libedit2 2.11~20080614-2 standard libs pool/main/libe/libedit/libedit2_2.11~20080614-2_i386.deb
libeggdbus-1-0 0.5-1 optional libs pool/main/e/eggdbus/libeggdbus-1-0_0.5-1_i386.deb
libept0 0.5.26build1 important libs pool/main/libe/libept/libept0_0.5.26build1_i386.deb
libexpat1 2.0.1-4 standard libs pool/main/e/expat/libexpat1_2.0.1-4_i386.deb
libffi5 3.0.7-1ubuntu1 extra libs pool/main/libf/libffi/libffi5_3.0.7-1ubuntu1_i386.deb
libflac8 1.2.1-2 optional libs pool/main/f/flac/libflac8_1.2.1-2_i386.deb
libfontconfig1 2.6.0-1ubuntu12 optional libs pool/main/f/fontconfig/libfontconfig1_2.6.0-1ubuntu12_i386.deb
libfontenc1 1:1.0.4-3 optional x11 pool/main/libf/libfontenc/libfontenc1_1.0.4-3_i386.deb
libfreetype6 2.3.9-5 optional libs pool/main/f/freetype/libfreetype6_2.3.9-5_i386.deb
libfribidi0 0.10.9-1build1 important libs pool/main/f/fribidi/libfribidi0_0.10.9-1build1_i386.deb
libgcc1 1:4.4.1-1ubuntu3 required libs pool/main/g/gcc-4.4/libgcc1_4.4.1-1ubuntu3_i386.deb
libgcj-common 1:4.4.0-3ubuntu1 optional libs pool/main/g/gcc-defaults/libgcj-common_4.4.0-3ubuntu1_all.deb
libgcj10 4.4.1-1ubuntu4 optional libs pool/main/g/gcj-4.4/libgcj10_4.4.1-1ubuntu4_i386.deb
libgcj10-awt 4.4.1-1ubuntu4 optional libs pool/main/g/gcj-4.4/libgcj10-awt_4.4.1-1ubuntu4_i386.deb
libgconf2-4 2.26.2-3ubuntu2 optional libs pool/main/g/gconf/libgconf2-4_2.26.2-3ubuntu2_i386.deb
libgcrypt11 1.4.4-2ubuntu2 important libs pool/main/libg/libgcrypt11/libgcrypt11_1.4.4-2ubuntu2_i386.deb
libgdbm3 1.8.3-4 important libs pool/main/g/gdbm/libgdbm3_1.8.3-4_i386.deb
# Skipped libgflags0 1.1-1 local_packages//libgflags0_1.1-1_i386.deb: local install
libgl1-mesa-dri 7.5-1ubuntu1 extra libs pool/main/m/mesa/libgl1-mesa-dri_7.5-1ubuntu1_i386.deb
libgl1-mesa-glx 7.5-1ubuntu1 optional libs pool/main/m/mesa/libgl1-mesa-glx_7.5-1ubuntu1_i386.deb
libglade2-0 1:2.6.4-1 optional libs pool/main/libg/libglade2/libglade2-0_2.6.4-1_i386.deb
libglib2.0-0 2.21.4-0ubuntu1 important libs pool/main/g/glib2.0/libglib2.0-0_2.21.4-0ubuntu1_i386.deb
libglib2.0-data 2.21.4-0ubuntu1 important misc pool/main/g/glib2.0/libglib2.0-data_2.21.4-0ubuntu1_all.deb
libgmp3c2 2:4.3.1+dfsg-1ubuntu2 standard libs pool/main/g/gmp/libgmp3c2_4.3.1+dfsg-1ubuntu2_i386.deb
libgmpxx4ldbl 2:4.3.1+dfsg-1ubuntu2 standard libs pool/main/g/gmp/libgmpxx4ldbl_4.3.1+dfsg-1ubuntu2_i386.deb
libgnutls26 2.6.6-1 important libs pool/main/g/gnutls26/libgnutls26_2.6.6-1_i386.deb
# Skipped libgoogle-glog0 0.2.1-1 local_packages//libgoogle-glog0_0.2.1-1_i386.deb: local install
libgpg-error0 1.6-1ubuntu1 important libs pool/main/libg/libgpg-error/libgpg-error0_1.6-1ubuntu1_i386.deb
libgpm2 1.20.4-3.2 important libs pool/main/g/gpm/libgpm2_1.20.4-3.2_i386.deb
libgssapi-krb5-2 1.7dfsg~beta3-1 important libs pool/main/k/krb5/libgssapi-krb5-2_1.7dfsg~beta3-1_i386.deb
libgtk2.0-0 2.17.7-0ubuntu3 optional libs pool/main/g/gtk+2.0/libgtk2.0-0_2.17.7-0ubuntu3_i386.deb
libgtk2.0-bin 2.17.7-0ubuntu3 optional misc pool/main/g/gtk+2.0/libgtk2.0-bin_2.17.7-0ubuntu3_all.deb
libgtk2.0-common 2.17.7-0ubuntu3 optional misc pool/main/g/gtk+2.0/libgtk2.0-common_2.17.7-0ubuntu3_all.deb
libgudev-1.0-0 1:145-1 optional libs pool/main/u/udev/libgudev-1.0-0_145-1_i386.deb
libhal1 0.5.13-1ubuntu1 optional libs pool/main/h/hal/libhal1_0.5.13-1ubuntu1_i386.deb
libhx18 2.9-3 extra libs pool/main/libh/libhx/libhx18_2.9-3_i386.deb
libice6 2:1.0.5-1 optional libs pool/main/libi/libice/libice6_1.0.5-1_i386.deb
libidl0 0.8.13-0.1 optional libs pool/main/libi/libidl/libidl0_0.8.13-0.1_i386.deb
libidn11 1.15-1 important libs pool/main/libi/libidn/libidn11_1.15-1_i386.deb
libio-string-perl 1.08-2 important perl pool/main/libi/libio-string-perl/libio-string-perl_1.08-2_all.deb
libiw29 29-2ubuntu3 optional libs pool/main/w/wireless-tools/libiw29_29-2ubuntu3_i386.deb
